[CANONICAL] Test A Stage 1 — EURUSD, split 2022-01-01..2024-12-31, TFs: D1, H4, H1, M15
  D1: 938 bars
  H4: 4833 bars
  H1: 18730 bars
  M15: 74770 bars

Stage-1 verdict registry
================================================================================================
tf    event_type                          n   evMFE   ctMFE  effect   hit%  ctHit%        p  verdict
------------------------------------------------------------------------------------------------
M15   ntouch_resistance_touch          1399   2.838   2.537  +0.301  50.0%   47.5%   0.0010  parked_weak_effect
M15   trendline_support_touch          4716   2.536   2.425  +0.110  48.0%   47.8%   0.0040  parked_weak_effect
M15   trendline_liquidity_sweep_low     508   2.749   2.441  +0.308  49.2%   47.9%   0.0065  parked_weak_effect
H1    channel_bottom_touch             1966   2.645   2.507  +0.138  48.7%   49.2%   0.0075  parked_weak_effect
M15   ntouch_support_touch             1414   2.724   2.577  +0.148  49.4%   47.5%   0.0200  parked_weak_effect
H1    trendline_resistance_touch       1039   2.733   2.572  +0.160  49.7%   47.6%   0.0235  parked_weak_effect
M15   liquidity_sweep_high              314   2.931   2.573  +0.358  46.8%   47.3%   0.0245  parked_weak_effect
M15   channel_top_touch                8288   2.602   2.539  +0.063  46.8%   47.4%   0.0295  parked_weak_effect
M15   channel_bottom_touch             8009   2.531   2.473  +0.058  47.9%   47.9%   0.0340  parked_weak_effect
M15   trendline_resistance_touch       4752   2.536   2.457  +0.079  48.2%   47.1%   0.0350  parked_weak_effect
H4    pwh_touch                         153   2.819   2.489  +0.330  49.0%   46.1%   0.0375  parked_weak_effect
M15   entered_discount                 1706   2.478   2.374  +0.103  50.1%   47.5%   0.0410  parked_weak_effect
M15   double_top_completion             484   2.940   2.676  +0.265  48.5%   50.0%   0.0475  parked_weak_effect
H1    triple_bottom_completion           14   3.120   1.860  +1.260  50.0%   50.0%   0.0125  parked_insufficient_n
H1    symmetrical_triangle_breakout_down     11   4.154   2.546  +1.608  72.7%   69.1%   0.0255  parked_insufficient_n
M15   descending_triangle_breakout       21   4.059   2.410  +1.649  42.9%   42.9%   0.0425  parked_insufficient_n
H4    triple_bottom_completion            4   4.243   2.295  +1.948  50.0%   65.0%   0.0545  parked_insufficient_n
D1    fib_382_tag                        30   3.449   2.783  +0.667  53.3%   44.0%   0.0600  parked_insufficient_n
H4    supply_zone_touch                  78   2.677   2.318  +0.359  48.7%   49.0%   0.0675  parked_insufficient_n
D1    fib_ext_1618_tag                    6   3.576   2.555  +1.021  83.3%   33.3%   0.0720  parked_insufficient_n
H4    hs_completion                      10   3.178   2.173  +1.005  50.0%   46.0%   0.0855  parked_insufficient_n
D1    trendline_break_retest_bullish     17   3.211   2.580  +0.631  70.6%   54.1%   0.0875  parked_insufficient_n
H4    double_top_completion              36   3.119   2.599  +0.520  61.1%   52.8%   0.0940  parked_insufficient_n
M15   symmetrical_triangle_breakout_up     55   2.617   2.201  +0.416  61.8%   49.5%   0.0945  parked_insufficient_n
D1    outside_bar_bear                   72   3.364   2.989  +0.375  47.2%   47.5%   0.1009  parked_insufficient_n
D1    choch_bearish                      12   3.833   2.883  +0.950  75.0%   41.7%   0.1074  parked_insufficient_n
H4    liquidity_sweep_low                10   3.364   2.600  +0.763  60.0%   56.0%   0.1119  parked_insufficient_n
D1    pwh_touch                          85   3.432   3.097  +0.334  42.4%   44.9%   0.1289  parked_insufficient_n
D1    tweezer_bottom                     66   3.121   2.809  +0.312  57.6%   49.7%   0.1429  parked_insufficient_n
H4    entered_premium                    84   2.760   2.528  +0.232  57.1%   47.4%   0.1564  parked_insufficient_n
H4    ntouch_resistance_touch            85   2.860   2.618  +0.241  57.6%   49.6%   0.1574  parked_insufficient_n
D1    trendline_liquidity_sweep_low       6   3.365   2.415  +0.950  50.0%   26.7%   0.1714  parked_insufficient_n
D1    entered_discount                   15   3.158   2.631  +0.527  26.7%   50.7%   0.1724  parked_insufficient_n
D1    bullish_fvg_touch                  58   3.001   2.736  +0.265  56.9%   51.0%   0.1769  parked_insufficient_n
D1    evening_star                       10   3.920   3.160  +0.760  90.0%   46.0%   0.1819  parked_insufficient_n
D1    ntouch_resistance_touch            16   3.375   2.829  +0.546  50.0%   46.2%   0.1899  parked_insufficient_n
H4    demand_zone_touch                  70   2.636   2.455  +0.181  52.9%   46.9%   0.2254  parked_insufficient_n
D1    bear_pin                           44   3.462   3.159  +0.303  40.9%   46.4%   0.2394  parked_insufficient_n
H1    liquidity_sweep_high               59   2.672   2.459  +0.213  50.8%   47.1%   0.2424  parked_insufficient_n
D1    fib_786_tag                        18   3.262   2.922  +0.340  55.6%   62.2%   0.2514  parked_insufficient_n
D1    inversion_fvg_bullish              76   2.972   2.799  +0.173  59.2%   54.5%   0.2519  parked_insufficient_n
D1    liquidity_sweep_low                 2   3.659   2.614  +1.044  50.0%   70.0%   0.2589  parked_insufficient_n
M15   ascending_triangle_breakout        18   3.241   2.794  +0.447  61.1%   55.6%   0.2599  parked_insufficient_n
H4    liquidity_sweep_high               18   2.889   2.549  +0.340  61.1%   50.0%   0.2664  parked_insufficient_n
D1    breaker_resistance_retest          17   3.578   3.219  +0.360  64.7%   51.8%   0.2749  parked_insufficient_n
D1    fib_50_tag                         23   3.074   2.830  +0.244  43.5%   48.7%   0.3008  parked_insufficient_n
H4    three_black_crows                  25   2.474   2.284  +0.191  64.0%   40.0%   0.3128  parked_insufficient_n
D1    breaker_support_retest             20   3.234   3.036  +0.198  50.0%   59.0%   0.3293  parked_insufficient_n
M15   rising_wedge_breakdown             96   2.810   2.685  +0.125  54.2%   52.5%   0.3313  parked_insufficient_n
