time_utc,ymd,n_hawk,n_dove,score,delta_tone,pips_1h,pips_4h
2015-03-18T18:00:00+00:00,20150318,2,4,-0.3333,0.0953,84.90000000000109,174.80000000000163
2015-04-29T18:00:00+00:00,20150429,2,6,-0.5,-0.1667,-36.399999999998656,-35.799999999999166
2015-06-17T18:00:00+00:00,20150617,2,4,-0.3333,0.1667,69.00000000000128,76.20000000000182
2015-07-29T18:00:00+00:00,20150729,2,4,-0.3333,0.0,-37.400000000000766,-68.60000000000088
2015-09-17T18:00:00+00:00,20150917,3,5,-0.25,0.0833,39.29999999999989,60.2999999999998
2015-10-28T18:00:00+00:00,20151028,4,6,-0.2,0.05,-167.6999999999995,-142.10000000000056
2015-12-16T19:00:00+00:00,20151216,2,4,-0.3333,-0.1333,30.29999999999866,-56.59999999999998
2016-01-27T19:00:00+00:00,20160127,1,5,-0.6667,-0.3334,35.400000000000986,33.10000000000146
2016-03-16T18:00:00+00:00,20160316,2,4,-0.3333,0.3334,109.09999999999975,124.50000000000072
2016-04-27T18:00:00+00:00,20160427,2,4,-0.3333,0.0,-8.300000000001084,-11.499999999999844
2016-06-15T18:00:00+00:00,20160615,1,4,-0.6,-0.2667,-5.999999999999339,-8.399999999999519
2016-07-27T18:00:00+00:00,20160727,2,4,-0.3333,0.2667,22.400000000000198,57.70000000000053
2016-09-21T18:00:00+00:00,20160921,2,3,-0.2,0.1333,19.400000000000528,32.399999999999096
2016-11-02T18:00:00+00:00,20161102,2,3,-0.2,0.0,-4.299999999999304,-3.900000000001125
2016-12-14T19:00:00+00:00,20161214,2,4,-0.3333,-0.1333,-88.29999999999893,-118.7999999999989
2017-02-01T19:00:00+00:00,20170201,1,4,-0.6,-0.2667,37.799999999998946,28.29999999999888
2017-03-15T18:00:00+00:00,20170315,2,5,-0.4286,0.1714,78.40000000000069,109.69999999999925
2017-05-03T18:00:00+00:00,20170503,1,5,-0.6667,-0.2381,-8.699999999999264,-28.500000000000192
2017-06-14T18:00:00+00:00,20170614,2,4,-0.3333,0.3334,-55.29999999999813,-53.49999999999966
2017-07-26T18:00:00+00:00,20170726,1,4,-0.6,-0.2667,57.10000000000104,99.60000000000191
2017-09-20T18:00:00+00:00,20170920,1,4,-0.6,0.0,-121.70000000000014,-118.10000000000099
2017-11-01T18:00:00+00:00,20171101,1,4,-0.6,0.0,-7.800000000000029,-4.8000000000003595
2017-12-13T19:00:00+00:00,20171213,3,4,-0.1429,0.4571,46.299999999999116,51.399999999999224
2018-01-31T19:00:00+00:00,20180131,2,3,-0.2,-0.0571,-7.099999999999884,-6.500000000000394
2018-03-21T18:00:00+00:00,20180321,3,3,0.0,0.2,50.90000000000039,60.09999999999849
2018-05-02T18:00:00+00:00,20180502,2,2,0.0,0.0,29.09999999999968,-2.9999999999996696
2018-06-13T18:00:00+00:00,20180613,4,1,0.6,0.6,-15.099999999999003,6.300000000001305
2018-08-01T18:00:00+00:00,20180801,3,1,0.5,-0.1,-2.9999999999996696,-7.099999999999884
2018-09-26T18:00:00+00:00,20180926,3,0,1.0,0.5,-5.40000000000207,-22.900000000001253
2018-11-08T19:00:00+00:00,20181108,2,0,1.0,0.0,-42.50000000000087,-34.79999999999927
2018-12-19T19:00:00+00:00,20181219,3,0,1.0,0.0,-58.59999999999977,-50.3000000000009
2019-01-30T19:00:00+00:00,20190130,3,2,0.2,-0.8,75.09999999999906,63.59999999999921
2019-03-20T18:00:00+00:00,20190320,3,3,0.0,-0.2,88.69999999999933,67.09999999999994
2019-05-01T18:00:00+00:00,20190501,3,4,-0.1429,-0.1429,-51.59999999999832,-46.89999999999861
2019-06-19T18:00:00+00:00,20190619,4,3,0.1429,0.2858,28.200000000000447,11.200000000000099
2019-07-31T18:00:00+00:00,20190731,4,3,0.1429,0.0,-51.79999999999963,-66.99999999999929
2019-09-18T18:00:00+00:00,20190918,4,4,0.0,-0.1429,-30.600000000000627,-31.200000000000117
2019-10-30T18:00:00+00:00,20191030,3,4,-0.1429,-0.1429,9.700000000001374,36.300000000000225
2019-12-11T19:00:00+00:00,20191211,3,3,0.0,0.1429,41.29999999999967,35.09999999999902
2020-01-29T19:00:00+00:00,20200129,3,4,-0.1429,-0.1429,18.899999999999473,8.999999999999009
2020-04-29T18:00:00+00:00,20200429,2,1,0.3333,0.4762,7.800000000000029,9.700000000001374
2020-06-10T18:00:00+00:00,20200610,2,1,0.3333,0.0,22.799999999998377,7.399999999999629
2020-07-29T18:00:00+00:00,20200729,2,1,0.3333,0.0,-20.500000000001073,5.5000000000005045
2020-09-16T18:00:00+00:00,20200916,2,3,-0.2,-0.5333,-28.200000000000447,-12.600000000000389
2020-11-05T19:00:00+00:00,20201105,2,4,-0.3333,-0.1333,27.200000000000557,10.900000000000354
2020-12-16T19:00:00+00:00,20201216,2,5,-0.4286,-0.0953,-8.799999999999919,26.299999999999102
2021-01-27T19:00:00+00:00,20210127,2,6,-0.5,-0.0714,-19.899999999999363,-11.699999999998933
2021-03-17T18:00:00+00:00,20210317,2,7,-0.5556,-0.0556,69.20000000000037,72.09999999999938
2021-04-28T18:00:00+00:00,20210428,2,6,-0.5,0.0556,38.40000000000066,40.40000000000043
2021-06-16T18:00:00+00:00,20210616,2,6,-0.5,0.0,-96.89999999999976,-121.0
2021-07-28T18:00:00+00:00,20210728,2,5,-0.4286,0.0714,26.699999999999502,32.70000000000106
2021-09-22T18:00:00+00:00,20210922,2,7,-0.5556,-0.127,-34.49999999999953,-35.199999999999676
2021-11-03T18:00:00+00:00,20211103,2,8,-0.6,-0.0444,27.29999999999899,29.999999999998916
2021-12-15T19:00:00+00:00,20211215,1,6,-0.7143,-0.1143,13.300000000000534,33.499999999999645
2022-01-26T19:00:00+00:00,20220126,4,5,-0.1111,0.6032,-28.400000000001757,-43.000000000001926
2022-03-16T18:00:00+00:00,20220316,4,0,1.0,1.1111,17.399999999998528,47.699999999999406
2022-05-04T18:00:00+00:00,20220504,4,0,1.0,0.0,71.79999999999964,80.00000000000007
2022-06-15T18:00:00+00:00,20220615,4,0,1.0,0.0,20.399999999998197,44.19999999999868
2022-07-27T18:00:00+00:00,20220727,4,0,1.0,0.0,70.20000000000026,70.99999999999883
2022-09-21T18:00:00+00:00,20220921,4,0,1.0,0.0,32.999999999999694,-32.70000000000106
2022-11-02T18:00:00+00:00,20221102,6,0,1.0,0.0,4.899999999999904,-64.29999999999936
2022-12-14T19:00:00+00:00,20221214,6,0,1.0,0.0,-14.100000000001334,2.5999999999992696
